iter	Passed	Remaining
862	10658	1691
863	10668	1679
864	10680	1666
865	10689	1654
866	10701	1641
867	10715	1629
868	10724	1616
869	10737	1604
870	10750	1592
871	10763	1579
872	10775	1567
873	10785	1554
874	10796	1542
875	10809	1530
876	10818	1517
877	10831	1505
878	10844	1492
879	10852	1479
880	10864	1467
881	10876	1455
882	10889	1442
883	10898	1430
884	10914	1418
885	10926	1405
886	10938	1393
887	10948	1380
888	10960	1368
889	10973	1356
890	10982	1343
891	10993	1331
892	11005	1318
893	11014	1306
894	11029	1293
895	11044	1281
896	11056	1269
897	11068	1257
898	11080	1244
899	11094	1232
900	11107	1220
901	11121	1208
902	11134	1196
903	11157	1184
904	11172	1172
905	11184	1160
906	11193	1147
907	11206	1135
908	11218	1123
909	11227	1110
910	11240	1098
911	11253	1085
912	11264	1073
913	11274	1060
914	11288	1048
915	11302	1036
916	11314	1024
917	11323	1011
918	11337	999
919	11349	986
920	11358	974
921	11370	961
922	11383	949
923	11395	937
924	11405	924
925	11419	912
926	11432	900
927	11443	887
928	11454	875
929	11467	863
930	11480	850
931	11489	838
932	11502	825
933	11515	813
934	11526	801
935	11537	788
936	11551	776
937	11569	764
938	11581	752
939	11593	740
940	11603	727
941	11616	715
942	11629	702
943	11639	690
944	11650	678
945	11663	665
946	11675	653
947	11685	640
948	11700	628
949	11714	616
950	11729	604
951	11744	592
952	11765	580
953	11781	568
954	11797	555
955	11811	543
956	11823	531
957	11833	518
958	11845	506
959	11857	494
960	11866	481
961	11879	469
962	11893	456
963	11904	444
964	11916	432
965	11927	419
966	11940	407
967	11953	395
968	11965	382
969	11976	370
970	11990	358
971	12004	345
972	12020	333
973	12031	321
974	12040	308
975	12053	296
976	12064	284
977	12074	271
978	12088	259
979	12101	246
980	12112	234
981	12123	222
982	12137	209
983	12151	197
984	12164	185
985	12173	172
986	12186	160
987	12199	148
988	12208	135
989	12219	123
990	12230	111
991	12239	98
992	12251	86
993	12269	74
994	12285	61
995	12302	49
996	12327	37
997	12345	24
998	12359	12
999	12369	0
